neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
8,1,1,12,124,3512
37,1,1,6,255,400
162,2,1,6,365,45
1,1,3,49,235,737
6,0,2,7,347,65
43,1,2,327,343,228
25,0,1,33,365,119
4,2,1,7,90,60
6,0,1,6,105,81
4,0,6,5,219,2000
24,0,1,7,7,55
1,0,1,8,321,100
103,0,1,6,351,60
111,0,1,8,0,40
6,0,5,7,0,44
178,0,2,5,173,40
43,1,2,327,292,250
1,1,1,8,0,310
20,0,1,33,1,119
6,0,2,7,66,77
129,0,3,9,357,69
152,0,1,7,177,65
6,2,3,34,332,40
15,1,15,5,179,79
4,1,3,6,249,750
111,2,1,7,365,38
6,0,2,6,308,75
1,0,3,12,365,799
193,2,3,10,0,25
28,1,2,11,354,140
64,1,1,8,34,89
79,0,1,8,127,39
3,0,1,11,356,239
37,0,1,5,74,72
7,2,1,5,21,95
1,1,3,49,206,699
20,1,3,28,60,199
25,0,1,6,363,85
43,1,2,327,325,211
71,0,1,7,293,100
46,0,1,8,189,30
43,0,7,13,358,209
81,1,1,6,249,120
21,0,2,10,343,65
2,1,1,5,271,122
81,0,1,8,164,34
43,1,2,327,346,215
30,1,1,5,261,285
37,0,3,12,96,40
6,0,1,6,174,40
64,0,1,8,0,84
7,2,1,5,23,95
1,1,3,49,188,737
37,1,2,7,58,159
4,0,1,10,365,50
1,0,3,12,365,499
6,1,1,10,255,115
71,0,1,9,299,100
7,0,7,47,358,62
81,0,1,5,71,50
21,2,1,7,73,29
66,0,3,5,362,40
71,0,1,9,317,100
21,0,3,8,330,75
1,0,3,12,365,599
56,0,1,9,363,50
14,0,1,9,315,100
196,0,4,7,323,35
7,0,7,47,329,80
1,1,3,49,230,737
70,0,7,13,296,38
1,0,1,14,336,450
14,0,1,20,359,129
20,2,3,5,301,35
87,0,1,10,136,68
19,0,1,7,23,60
6,1,2,5,70,50
7,0,7,47,326,65
84,0,1,6,170,57
